Gene,Gene Identifier,Number of AT Sites,AT Coordinates
hypothetical protein,RAST2:fig|442.17.peg.610,108,"3079370, 3079376, 3079388, 3079389, 3079393, 3079412, 3079413, 3079425, 3079434, 3079439, 3079450, 3079460, 3079461, 3079484, 3079491, 3079514, 3079519, 3079546, 3079562, 3079567, 3079568, 3079578, 3079613, 3079628, 3079655, 3079725, 3079732, 3079760, 3079798, 3079810, 3079811, 3079835, 3079842, 3079843, 3079896, 3079901, 3079909, 3079919, 3079948, 3079964, 3079976, 3079995, 3079996, 3079999, 3080000, 3080012, 3080032, 3080033, 3080038, 3080039, 3080055, 3080063, 3080106, 3080108, 3080111, 3080112, 3080167, 3080170, 3080171, 3080180, 3080181, 3080206, 3080228, 3080242, 3080246, 3080250, 3080264, 3080310, 3080383, 3080398, 3080404, 3080420, 3080422, 3080425, 3080426, 3080427, 3080428, 3080437, 3080453, 3080472, 3080473, 3080482, 3080483, 3080497, 3080503, 3080504, 3080506, 3080515, 3080518, 3080531, 3080535, 3080536, 3080555, 3080556, 3080560, 3080564, 3080565, 3080575, 3080576, 3080588, 3080591, 3080592, 3080600, 3080604, 3080605, 3080615, 3080626, 3080629"
TonB-dependent receptor,RAST2:fig|442.17.peg.611,196,"3080682, 3080688, 3080700, 3080701, 3080705, 3080724, 3080725, 3080737, 3080746, 3080751, 3080762, 3080772, 3080773, 3080796, 3080803, 3080826, 3080831, 3080858, 3080874, 3080879, 3080880, 3080890, 3080925, 3080940, 3080967, 3081037, 3081044, 3081072, 3081110, 3081122, 3081123, 3081147, 3081154, 3081155, 3081208, 3081213, 3081221, 3081231, 3081260, 3081276, 3081288, 3081307, 3081308, 3081311, 3081312, 3081324, 3081344, 3081345, 3081350, 3081351, 3081367, 3081375, 3081418, 3081420, 3081423, 3081424, 3081479, 3081482, 3081483, 3081492, 3081493, 3081518, 3081540, 3081554, 3081558, 3081562, 3081576, 3081622, 3081695, 3081710, 3081716, 3081732, 3081734, 3081737, 3081738, 3081739, 3081740, 3081749, 3081765, 3081784, 3081785, 3081794, 3081795, 3081809, 3081815, 3081816, 3081818, 3081827, 3081830, 3081843, 3081847, 3081848, 3081867, 3081868, 3081872, 3081876, 3081877, 3081887, 3081888, 3081900, 3081903, 3081904, 3081912, 3081916, 3081917, 3081927, 3081938, 3081941, 3081948, 3081957, 3081959, 3081963, 3081968, 3081979, 3081990, 3081996, 3082006, 3082023, 3082031, 3082032, 3082048, 3082057, 3082084, 3082112, 3082113, 3082146, 3082149, 3082157, 3082225, 3082226, 3082227, 3082269, 3082278, 3082289, 3082293, 3082324, 3082325, 3082326, 3082345, 3082350, 3082420, 3082454, 3082468, 3082475, 3082478, 3082483, 3082491, 3082496, 3082531, 3082534, 3082556, 3082583, 3082641, 3082642, 3082643, 3082679, 3082704, 3082711, 3082728, 3082730, 3082760, 3082761, 3082762, 3082766, 3082784, 3082785, 3082795, 3082799, 3082826, 3082854, 3082865, 3082866, 3082871, 3082872, 3082893, 3082906, 3082915, 3082922, 3082929, 3082930, 3082932, 3082987, 3083002, 3083006, 3083007, 3083014, 3083024, 3083030, 3083046, 3083050, 3083063, 3083076, 3083079, 3083080, 3083115, 3083119"
N-methylhydantoinase B,RAST2:fig|442.17.peg.612,140,"3083219, 3083225, 3083237, 3083238, 3083242, 3083261, 3083262, 3083274, 3083283, 3083288, 3083299, 3083309, 3083310, 3083333, 3083340, 3083363, 3083368, 3083395, 3083411, 3083416, 3083417, 3083427, 3083462, 3083477, 3083504, 3083574, 3083581, 3083609, 3083647, 3083659, 3083660, 3083684, 3083691, 3083692, 3083745, 3083750, 3083758, 3083768, 3083797, 3083813, 3083825, 3083844, 3083845, 3083848, 3083849, 3083861, 3083881, 3083882, 3083887, 3083888, 3083904, 3083912, 3083955, 3083957, 3083960, 3083961, 3084016, 3084019, 3084020, 3084029, 3084030, 3084055, 3084077, 3084091, 3084095, 3084099, 3084113, 3084159, 3084232, 3084247, 3084253, 3084269, 3084271, 3084274, 3084275, 3084276, 3084277, 3084286, 3084302, 3084321, 3084322, 3084331, 3084332, 3084346, 3084352, 3084353, 3084355, 3084364, 3084367, 3084380, 3084384, 3084385, 3084404, 3084405, 3084409, 3084413, 3084414, 3084424, 3084425, 3084437, 3084440, 3084441, 3084449, 3084453, 3084454, 3084464, 3084475, 3084478, 3084485, 3084494, 3084496, 3084500, 3084505, 3084516, 3084527, 3084533, 3084543, 3084560, 3084568, 3084569, 3084585, 3084594, 3084621, 3084649, 3084650, 3084683, 3084686, 3084694, 3084762, 3084763, 3084764, 3084806, 3084815, 3084826, 3084830, 3084861, 3084862, 3084863, 3084882, 3084887"
N-methylhydantoinase A,RAST2:fig|442.17.peg.613,158,"3084958, 3084964, 3084976, 3084977, 3084981, 3085000, 3085001, 3085013, 3085022, 3085027, 3085038, 3085048, 3085049, 3085072, 3085079, 3085102, 3085107, 3085134, 3085150, 3085155, 3085156, 3085166, 3085201, 3085216, 3085243, 3085313, 3085320, 3085348, 3085386, 3085398, 3085399, 3085423, 3085430, 3085431, 3085484, 3085489, 3085497, 3085507, 3085536, 3085552, 3085564, 3085583, 3085584, 3085587, 3085588, 3085600, 3085620, 3085621, 3085626, 3085627, 3085643, 3085651, 3085694, 3085696, 3085699, 3085700, 3085755, 3085758, 3085759, 3085768, 3085769, 3085794, 3085816, 3085830, 3085834, 3085838, 3085852, 3085898, 3085971, 3085986, 3085992, 3086008, 3086010, 3086013, 3086014, 3086015, 3086016, 3086025, 3086041, 3086060, 3086061, 3086070, 3086071, 3086085, 3086091, 3086092, 3086094, 3086103, 3086106, 3086119, 3086123, 3086124, 3086143, 3086144, 3086148, 3086152, 3086153, 3086163, 3086164, 3086176, 3086179, 3086180, 3086188, 3086192, 3086193, 3086203, 3086214, 3086217, 3086224, 3086233, 3086235, 3086239, 3086244, 3086255, 3086266, 3086272, 3086282, 3086299, 3086307, 3086308, 3086324, 3086333, 3086360, 3086388, 3086389, 3086422, 3086425, 3086433, 3086501, 3086502, 3086503, 3086545, 3086554, 3086565, 3086569, 3086600, 3086601, 3086602, 3086621, 3086626, 3086696, 3086730, 3086744, 3086751, 3086754, 3086759, 3086767, 3086772, 3086807, 3086810, 3086832, 3086859, 3086917, 3086918, 3086919, 3086955, 3086980, 3086987"
Sarcosine oxidase beta subunit,RAST2:fig|442.17.peg.614,81,"3087062, 3087068, 3087080, 3087081, 3087085, 3087104, 3087105, 3087117, 3087126, 3087131, 3087142, 3087152, 3087153, 3087176, 3087183, 3087206, 3087211, 3087238, 3087254, 3087259, 3087260, 3087270, 3087305, 3087320, 3087347, 3087417, 3087424, 3087452, 3087490, 3087502, 3087503, 3087527, 3087534, 3087535, 3087588, 3087593, 3087601, 3087611, 3087640, 3087656, 3087668, 3087687, 3087688, 3087691, 3087692, 3087704, 3087724, 3087725, 3087730, 3087731, 3087747, 3087755, 3087798, 3087800, 3087803, 3087804, 3087859, 3087862, 3087863, 3087872, 3087873, 3087898, 3087920, 3087934, 3087938, 3087942, 3087956, 3088002, 3088075, 3088090, 3088096, 3088112, 3088114, 3088117, 3088118, 3088119, 3088120, 3088129, 3088145, 3088164, 3088165"
hypothetical protein,RAST2:fig|442.17.peg.615,122,"3088174, 3088180, 3088192, 3088193, 3088197, 3088216, 3088217, 3088229, 3088238, 3088243, 3088254, 3088264, 3088265, 3088288, 3088295, 3088318, 3088323, 3088350, 3088366, 3088371, 3088372, 3088382, 3088417, 3088432, 3088459, 3088529, 3088536, 3088564, 3088602, 3088614, 3088615, 3088639, 3088646, 3088647, 3088700, 3088705, 3088713, 3088723, 3088752, 3088768, 3088780, 3088799, 3088800, 3088803, 3088804, 3088816, 3088836, 3088837, 3088842, 3088843, 3088859, 3088867, 3088910, 3088912, 3088915, 3088916, 3088971, 3088974, 3088975, 3088984, 3088985, 3089010, 3089032, 3089046, 3089050, 3089054, 3089068, 3089114, 3089187, 3089202, 3089208, 3089224, 3089226, 3089229, 3089230, 3089231, 3089232, 3089241, 3089257, 3089276, 3089277, 3089286, 3089287, 3089301, 3089307, 3089308, 3089310, 3089319, 3089322, 3089335, 3089339, 3089340, 3089359, 3089360, 3089364, 3089368, 3089369, 3089379, 3089380, 3089392, 3089395, 3089396, 3089404, 3089408, 3089409, 3089419, 3089430, 3089433, 3089440, 3089449, 3089451, 3089455, 3089460, 3089471, 3089482, 3089488, 3089498, 3089515, 3089523, 3089524, 3089540, 3089549"
hypothetical protein,RAST2:fig|442.17.peg.616,25,"3089562, 3089568, 3089580, 3089581, 3089585, 3089604, 3089605, 3089617, 3089626, 3089631, 3089642, 3089652, 3089653, 3089676, 3089683, 3089706, 3089711, 3089738, 3089754, 3089759, 3089760, 3089770, 3089805, 3089820, 3089847"
hypothetical protein,RAST2:fig|442.17.peg.617,79,"3089857, 3089863, 3089875, 3089876, 3089880, 3089899, 3089900, 3089912, 3089921, 3089926, 3089937, 3089947, 3089948, 3089971, 3089978, 3090001, 3090006, 3090033, 3090049, 3090054, 3090055, 3090065, 3090100, 3090115, 3090142, 3090212, 3090219, 3090247, 3090285, 3090297, 3090298, 3090322, 3090329, 3090330, 3090383, 3090388, 3090396, 3090406, 3090435, 3090451, 3090463, 3090482, 3090483, 3090486, 3090487, 3090499, 3090519, 3090520, 3090525, 3090526, 3090542, 3090550, 3090593, 3090595, 3090598, 3090599, 3090654, 3090657, 3090658, 3090667, 3090668, 3090693, 3090715, 3090729, 3090733, 3090737, 3090751, 3090797, 3090870, 3090885, 3090891, 3090907, 3090909, 3090912, 3090913, 3090914, 3090915, 3090924, 3090940"
hypothetical protein,RAST2:fig|442.17.peg.618,66,"3091052, 3091058, 3091070, 3091071, 3091075, 3091094, 3091095, 3091107, 3091116, 3091121, 3091132, 3091142, 3091143, 3091166, 3091173, 3091196, 3091201, 3091228, 3091244, 3091249, 3091250, 3091260, 3091295, 3091310, 3091337, 3091407, 3091414, 3091442, 3091480, 3091492, 3091493, 3091517, 3091524, 3091525, 3091578, 3091583, 3091591, 3091601, 3091630, 3091646, 3091658, 3091677, 3091678, 3091681, 3091682, 3091694, 3091714, 3091715, 3091720, 3091721, 3091737, 3091745, 3091788, 3091790, 3091793, 3091794, 3091849, 3091852, 3091853, 3091862, 3091863, 3091888, 3091910, 3091924, 3091928, 3091932"
Mobile element protein,RAST2:fig|442.17.peg.619,18,"3092032, 3092038, 3092050, 3092051, 3092055, 3092074, 3092075, 3092087, 3092096, 3092101, 3092112, 3092122, 3092123, 3092146, 3092153, 3092176, 3092181, 3092208"
Mobile element protein,RAST2:fig|442.17.peg.620,26,"3092577, 3092583, 3092595, 3092596, 3092600, 3092619, 3092620, 3092632, 3092641, 3092646, 3092657, 3092667, 3092668, 3092691, 3092698, 3092721, 3092726, 3092753, 3092769, 3092774, 3092775, 3092785, 3092820, 3092835, 3092862, 3092932"
Transposase,RAST2:fig|442.17.peg.621,15,"3092947, 3092953, 3092965, 3092966, 3092970, 3092989, 3092990, 3093002, 3093011, 3093016, 3093027, 3093037, 3093038, 3093061, 3093068"
"Tetrapartite efflux system, outer membrane fact",RAST2:fig|442.17.peg.622,13,"3093303, 3093309, 3093321, 3093322, 3093326, 3093345, 3093346, 3093358, 3093367, 3093372, 3093383, 3093393, 3093394"
Putative hydrolase,RAST2:fig|442.17.peg.623,67,"3093464, 3093470, 3093482, 3093483, 3093487, 3093506, 3093507, 3093519, 3093528, 3093533, 3093544, 3093554, 3093555, 3093578, 3093585, 3093608, 3093613, 3093640, 3093656, 3093661, 3093662, 3093672, 3093707, 3093722, 3093749, 3093819, 3093826, 3093854, 3093892, 3093904, 3093905, 3093929, 3093936, 3093937, 3093990, 3093995, 3094003, 3094013, 3094042, 3094058, 3094070, 3094089, 3094090, 3094093, 3094094, 3094106, 3094126, 3094127, 3094132, 3094133, 3094149, 3094157, 3094200, 3094202, 3094205, 3094206, 3094261, 3094264, 3094265, 3094274, 3094275, 3094300, 3094322, 3094336, 3094340, 3094344, 3094358"
hypothetical protein,RAST2:fig|442.17.peg.624,16,"3094459, 3094465, 3094477, 3094478, 3094482, 3094501, 3094502, 3094514, 3094523, 3094528, 3094539, 3094549, 3094550, 3094573, 3094580, 3094603"
DnaJ-class molecular chaperone CbpA,RAST2:fig|442.17.peg.625,67,"3094614, 3094620, 3094632, 3094633, 3094637, 3094656, 3094657, 3094669, 3094678, 3094683, 3094694, 3094704, 3094705, 3094728, 3094735, 3094758, 3094763, 3094790, 3094806, 3094811, 3094812, 3094822, 3094857, 3094872, 3094899, 3094969, 3094976, 3095004, 3095042, 3095054, 3095055, 3095079, 3095086, 3095087, 3095140, 3095145, 3095153, 3095163, 3095192, 3095208, 3095220, 3095239, 3095240, 3095243, 3095244, 3095256, 3095276, 3095277, 3095282, 3095283, 3095299, 3095307, 3095350, 3095352, 3095355, 3095356, 3095411, 3095414, 3095415, 3095424, 3095425, 3095450, 3095472, 3095486, 3095490, 3095494, 3095508"
hypothetical protein,RAST2:fig|442.17.peg.626,15,"3095545, 3095551, 3095563, 3095564, 3095568, 3095587, 3095588, 3095600, 3095609, 3095614, 3095625, 3095635, 3095636, 3095659, 3095666"
Di-tripeptide/H+ symporter,RAST2:fig|442.17.peg.627,128,"3095731, 3095737, 3095749, 3095750, 3095754, 3095773, 3095774, 3095786, 3095795, 3095800, 3095811, 3095821, 3095822, 3095845, 3095852, 3095875, 3095880, 3095907, 3095923, 3095928, 3095929, 3095939, 3095974, 3095989, 3096016, 3096086, 3096093, 3096121, 3096159, 3096171, 3096172, 3096196, 3096203, 3096204, 3096257, 3096262, 3096270, 3096280, 3096309, 3096325, 3096337, 3096356, 3096357, 3096360, 3096361, 3096373, 3096393, 3096394, 3096399, 3096400, 3096416, 3096424, 3096467, 3096469, 3096472, 3096473, 3096528, 3096531, 3096532, 3096541, 3096542, 3096567, 3096589, 3096603, 3096607, 3096611, 3096625, 3096671, 3096744, 3096759, 3096765, 3096781, 3096783, 3096786, 3096787, 3096788, 3096789, 3096798, 3096814, 3096833, 3096834, 3096843, 3096844, 3096858, 3096864, 3096865, 3096867, 3096876, 3096879, 3096892, 3096896, 3096897, 3096916, 3096917, 3096921, 3096925, 3096926, 3096936, 3096937, 3096949, 3096952, 3096953, 3096961, 3096965, 3096966, 3096976, 3096987, 3096990, 3096997, 3097006, 3097008, 3097012, 3097017, 3097028, 3097039, 3097045, 3097055, 3097072, 3097080, 3097081, 3097097, 3097106, 3097133, 3097161, 3097162, 3097195, 3097198, 3097206"
Carbohydrate-selective porin OprB,RAST2:fig|442.17.peg.628,131,"3097448, 3097454, 3097466, 3097467, 3097471, 3097490, 3097491, 3097503, 3097512, 3097517, 3097528, 3097538, 3097539, 3097562, 3097569, 3097592, 3097597, 3097624, 3097640, 3097645, 3097646, 3097656, 3097691, 3097706, 3097733, 3097803, 3097810, 3097838, 3097876, 3097888, 3097889, 3097913, 3097920, 3097921, 3097974, 3097979, 3097987, 3097997, 3098026, 3098042, 3098054, 3098073, 3098074, 3098077, 3098078, 3098090, 3098110, 3098111, 3098116, 3098117, 3098133, 3098141, 3098184, 3098186, 3098189, 3098190, 3098245, 3098248, 3098249, 3098258, 3098259, 3098284, 3098306, 3098320, 3098324, 3098328, 3098342, 3098388, 3098461, 3098476, 3098482, 3098498, 3098500, 3098503, 3098504, 3098505, 3098506, 3098515, 3098531, 3098550, 3098551, 3098560, 3098561, 3098575, 3098581, 3098582, 3098584, 3098593, 3098596, 3098609, 3098613, 3098614, 3098633, 3098634, 3098638, 3098642, 3098643, 3098653, 3098654, 3098666, 3098669, 3098670, 3098678, 3098682, 3098683, 3098693, 3098704, 3098707, 3098714, 3098723, 3098725, 3098729, 3098734, 3098745, 3098756, 3098762, 3098772, 3098789, 3098797, 3098798, 3098814, 3098823, 3098850, 3098878, 3098879, 3098912, 3098915, 3098923, 3098991, 3098992, 3098993"
Ferrichrome-iron receptor,RAST2:fig|442.17.peg.629,177,"3099098, 3099104, 3099116, 3099117, 3099121, 3099140, 3099141, 3099153, 3099162, 3099167, 3099178, 3099188, 3099189, 3099212, 3099219, 3099242, 3099247, 3099274, 3099290, 3099295, 3099296, 3099306, 3099341, 3099356, 3099383, 3099453, 3099460, 3099488, 3099526, 3099538, 3099539, 3099563, 3099570, 3099571, 3099624, 3099629, 3099637, 3099647, 3099676, 3099692, 3099704, 3099723, 3099724, 3099727, 3099728, 3099740, 3099760, 3099761, 3099766, 3099767, 3099783, 3099791, 3099834, 3099836, 3099839, 3099840, 3099895, 3099898, 3099899, 3099908, 3099909, 3099934, 3099956, 3099970, 3099974, 3099978, 3099992, 3100038, 3100111, 3100126, 3100132, 3100148, 3100150, 3100153, 3100154, 3100155, 3100156, 3100165, 3100181, 3100200, 3100201, 3100210, 3100211, 3100225, 3100231, 3100232, 3100234, 3100243, 3100246, 3100259, 3100263, 3100264, 3100283, 3100284, 3100288, 3100292, 3100293, 3100303, 3100304, 3100316, 3100319, 3100320, 3100328, 3100332, 3100333, 3100343, 3100354, 3100357, 3100364, 3100373, 3100375, 3100379, 3100384, 3100395, 3100406, 3100412, 3100422, 3100439, 3100447, 3100448, 3100464, 3100473, 3100500, 3100528, 3100529, 3100562, 3100565, 3100573, 3100641, 3100642, 3100643, 3100685, 3100694, 3100705, 3100709, 3100740, 3100741, 3100742, 3100761, 3100766, 3100836, 3100870, 3100884, 3100891, 3100894, 3100899, 3100907, 3100912, 3100947, 3100950, 3100972, 3100999, 3101057, 3101058, 3101059, 3101095, 3101120, 3101127, 3101144, 3101146, 3101176, 3101177, 3101178, 3101182, 3101200, 3101201, 3101211, 3101215, 3101242, 3101270, 3101281, 3101282, 3101287, 3101288, 3101309, 3101322, 3101331"
"Outer membrane low permeability porin, OprB family",RAST2:fig|442.17.peg.630,131,"3101496, 3101502, 3101514, 3101515, 3101519, 3101538, 3101539, 3101551, 3101560, 3101565, 3101576, 3101586, 3101587, 3101610, 3101617, 3101640, 3101645, 3101672, 3101688, 3101693, 3101694, 3101704, 3101739, 3101754, 3101781, 3101851, 3101858, 3101886, 3101924, 3101936, 3101937, 3101961, 3101968, 3101969, 3102022, 3102027, 3102035, 3102045, 3102074, 3102090, 3102102, 3102121, 3102122, 3102125, 3102126, 3102138, 3102158, 3102159, 3102164, 3102165, 3102181, 3102189, 3102232, 3102234, 3102237, 3102238, 3102293, 3102296, 3102297, 3102306, 3102307, 3102332, 3102354, 3102368, 3102372, 3102376, 3102390, 3102436, 3102509, 3102524, 3102530, 3102546, 3102548, 3102551, 3102552, 3102553, 3102554, 3102563, 3102579, 3102598, 3102599, 3102608, 3102609, 3102623, 3102629, 3102630, 3102632, 3102641, 3102644, 3102657, 3102661, 3102662, 3102681, 3102682, 3102686, 3102690, 3102691, 3102701, 3102702, 3102714, 3102717, 3102718, 3102726, 3102730, 3102731, 3102741, 3102752, 3102755, 3102762, 3102771, 3102773, 3102777, 3102782, 3102793, 3102804, 3102810, 3102820, 3102837, 3102845, 3102846, 3102862, 3102871, 3102898, 3102926, 3102927, 3102960, 3102963, 3102971, 3103039, 3103040, 3103041"
hypothetical protein,RAST2:fig|442.17.peg.631,41,"3103353, 3103359, 3103371, 3103372, 3103376, 3103395, 3103396, 3103408, 3103417, 3103422, 3103433, 3103443, 3103444, 3103467, 3103474, 3103497, 3103502, 3103529, 3103545, 3103550, 3103551, 3103561, 3103596, 3103611, 3103638, 3103708, 3103715, 3103743, 3103781, 3103793, 3103794, 3103818, 3103825, 3103826, 3103879, 3103884, 3103892, 3103902, 3103931, 3103947, 3103959"
hypothetical protein,RAST2:fig|442.17.peg.632,38,"3104012, 3104018, 3104030, 3104031, 3104035, 3104054, 3104055, 3104067, 3104076, 3104081, 3104092, 3104102, 3104103, 3104126, 3104133, 3104156, 3104161, 3104188, 3104204, 3104209, 3104210, 3104220, 3104255, 3104270, 3104297, 3104367, 3104374, 3104402, 3104440, 3104452, 3104453, 3104477, 3104484, 3104485, 3104538, 3104543, 3104551, 3104561"
Alkyl hydroperoxide reductase subunit C-like pr,RAST2:fig|442.17.peg.633,36,"3104596, 3104602, 3104614, 3104615, 3104619, 3104638, 3104639, 3104651, 3104660, 3104665, 3104676, 3104686, 3104687, 3104710, 3104717, 3104740, 3104745, 3104772, 3104788, 3104793, 3104794, 3104804, 3104839, 3104854, 3104881, 3104951, 3104958, 3104986, 3105024, 3105036, 3105037, 3105061, 3105068, 3105069, 3105122, 3105127"
probable transglycosylase,RAST2:fig|442.17.peg.634,118,"3105197, 3105203, 3105215, 3105216, 3105220, 3105239, 3105240, 3105252, 3105261, 3105266, 3105277, 3105287, 3105288, 3105311, 3105318, 3105341, 3105346, 3105373, 3105389, 3105394, 3105395, 3105405, 3105440, 3105455, 3105482, 3105552, 3105559, 3105587, 3105625, 3105637, 3105638, 3105662, 3105669, 3105670, 3105723, 3105728, 3105736, 3105746, 3105775, 3105791, 3105803, 3105822, 3105823, 3105826, 3105827, 3105839, 3105859, 3105860, 3105865, 3105866, 3105882, 3105890, 3105933, 3105935, 3105938, 3105939, 3105994, 3105997, 3105998, 3106007, 3106008, 3106033, 3106055, 3106069, 3106073, 3106077, 3106091, 3106137, 3106210, 3106225, 3106231, 3106247, 3106249, 3106252, 3106253, 3106254, 3106255, 3106264, 3106280, 3106299, 3106300, 3106309, 3106310, 3106324, 3106330, 3106331, 3106333, 3106342, 3106345, 3106358, 3106362, 3106363, 3106382, 3106383, 3106387, 3106391, 3106392, 3106402, 3106403, 3106415, 3106418, 3106419, 3106427, 3106431, 3106432, 3106442, 3106453, 3106456, 3106463, 3106472, 3106474, 3106478, 3106483, 3106494, 3106505, 3106511, 3106521, 3106538"
O-antigen export system permease protein RfbD,RAST2:fig|442.17.peg.635,63,"3106764, 3106770, 3106782, 3106783, 3106787, 3106806, 3106807, 3106819, 3106828, 3106833, 3106844, 3106854, 3106855, 3106878, 3106885, 3106908, 3106913, 3106940, 3106956, 3106961, 3106962, 3106972, 3107007, 3107022, 3107049, 3107119, 3107126, 3107154, 3107192, 3107204, 3107205, 3107229, 3107236, 3107237, 3107290, 3107295, 3107303, 3107313, 3107342, 3107358, 3107370, 3107389, 3107390, 3107393, 3107394, 3107406, 3107426, 3107427, 3107432, 3107433, 3107449, 3107457, 3107500, 3107502, 3107505, 3107506, 3107561, 3107564, 3107565, 3107574, 3107575, 3107600, 3107622"
hypothetical protein,RAST2:fig|442.17.peg.636,56,"3107638, 3107644, 3107656, 3107657, 3107661, 3107680, 3107681, 3107693, 3107702, 3107707, 3107718, 3107728, 3107729, 3107752, 3107759, 3107782, 3107787, 3107814, 3107830, 3107835, 3107836, 3107846, 3107881, 3107896, 3107923, 3107993, 3108000, 3108028, 3108066, 3108078, 3108079, 3108103, 3108110, 3108111, 3108164, 3108169, 3108177, 3108187, 3108216, 3108232, 3108244, 3108263, 3108264, 3108267, 3108268, 3108280, 3108300, 3108301, 3108306, 3108307, 3108323, 3108331, 3108374, 3108376, 3108379, 3108380"
hypothetical protein,RAST2:fig|442.17.peg.637,22,"3108531, 3108537, 3108549, 3108550, 3108554, 3108573, 3108574, 3108586, 3108595, 3108600, 3108611, 3108621, 3108622, 3108645, 3108652, 3108675, 3108680, 3108707, 3108723, 3108728, 3108729, 3108739"
hypothetical protein,RAST2:fig|442.17.peg.638,27,"3108784, 3108790, 3108802, 3108803, 3108807, 3108826, 3108827, 3108839, 3108848, 3108853, 3108864, 3108874, 3108875, 3108898, 3108905, 3108928, 3108933, 3108960, 3108976, 3108981, 3108982, 3108992, 3109027, 3109042, 3109069, 3109139, 3109146"
hypothetical protein,RAST2:fig|442.17.peg.639,38,"3109269, 3109275, 3109287, 3109288, 3109292, 3109311, 3109312, 3109324, 3109333, 3109338, 3109349, 3109359, 3109360, 3109383, 3109390, 3109413, 3109418, 3109445, 3109461, 3109466, 3109467, 3109477, 3109512, 3109527, 3109554, 3109624, 3109631, 3109659, 3109697, 3109709, 3109710, 3109734, 3109741, 3109742, 3109795, 3109800, 3109808, 3109818"
Thymidylate synthase ThyX,RAST2:fig|442.17.peg.640,67,"3110363, 3110369, 3110381, 3110382, 3110386, 3110405, 3110406, 3110418, 3110427, 3110432, 3110443, 3110453, 3110454, 3110477, 3110484, 3110507, 3110512, 3110539, 3110555, 3110560, 3110561, 3110571, 3110606, 3110621, 3110648, 3110718, 3110725, 3110753, 3110791, 3110803, 3110804, 3110828, 3110835, 3110836, 3110889, 3110894, 3110902, 3110912, 3110941, 3110957, 3110969, 3110988, 3110989, 3110992, 3110993, 3111005, 3111025, 3111026, 3111031, 3111032, 3111048, 3111056, 3111099, 3111101, 3111104, 3111105, 3111160, 3111163, 3111164, 3111173, 3111174, 3111199, 3111221, 3111235, 3111239, 3111243, 3111257"
hypothetical protein,RAST2:fig|442.17.peg.641,18,"3111261, 3111267, 3111279, 3111280, 3111284, 3111303, 3111304, 3111316, 3111325, 3111330, 3111341, 3111351, 3111352, 3111375, 3111382, 3111405, 3111410, 3111437"
hypothetical protein,RAST2:fig|442.17.peg.642,16,"3112056, 3112062, 3112074, 3112075, 3112079, 3112098, 3112099, 3112111, 3112120, 3112125, 3112136, 3112146, 3112147, 3112170, 3112177, 3112200"
Scaffold protein for [4Fe-4S] cluster assembly,RAST2:fig|442.17.peg.643,94,"3112208, 3112214, 3112226, 3112227, 3112231, 3112250, 3112251, 3112263, 3112272, 3112277, 3112288, 3112298, 3112299, 3112322, 3112329, 3112352, 3112357, 3112384, 3112400, 3112405, 3112406, 3112416, 3112451, 3112466, 3112493, 3112563, 3112570, 3112598, 3112636, 3112648, 3112649, 3112673, 3112680, 3112681, 3112734, 3112739, 3112747, 3112757, 3112786, 3112802, 3112814, 3112833, 3112834, 3112837, 3112838, 3112850, 3112870, 3112871, 3112876, 3112877, 3112893, 3112901, 3112944, 3112946, 3112949, 3112950, 3113005, 3113008, 3113009, 3113018, 3113019, 3113044, 3113066, 3113080, 3113084, 3113088, 3113102, 3113148, 3113221, 3113236, 3113242, 3113258, 3113260, 3113263, 3113264, 3113265, 3113266, 3113275, 3113291, 3113310, 3113311, 3113320, 3113321, 3113335, 3113341, 3113342, 3113344, 3113353, 3113356, 3113369, 3113373, 3113374, 3113393, 3113394"
HtrA protease/chaperone protein,RAST2:fig|442.17.peg.644,131,"3113532, 3113538, 3113550, 3113551, 3113555, 3113574, 3113575, 3113587, 3113596, 3113601, 3113612, 3113622, 3113623, 3113646, 3113653, 3113676, 3113681, 3113708, 3113724, 3113729, 3113730, 3113740, 3113775, 3113790, 3113817, 3113887, 3113894, 3113922, 3113960, 3113972, 3113973, 3113997, 3114004, 3114005, 3114058, 3114063, 3114071, 3114081, 3114110, 3114126, 3114138, 3114157, 3114158, 3114161, 3114162, 3114174, 3114194, 3114195, 3114200, 3114201, 3114217, 3114225, 3114268, 3114270, 3114273, 3114274, 3114329, 3114332, 3114333, 3114342, 3114343, 3114368, 3114390, 3114404, 3114408, 3114412, 3114426, 3114472, 3114545, 3114560, 3114566, 3114582, 3114584, 3114587, 3114588, 3114589, 3114590, 3114599, 3114615, 3114634, 3114635, 3114644, 3114645, 3114659, 3114665, 3114666, 3114668, 3114677, 3114680, 3114693, 3114697, 3114698, 3114717, 3114718, 3114722, 3114726, 3114727, 3114737, 3114738, 3114750, 3114753, 3114754, 3114762, 3114766, 3114767, 3114777, 3114788, 3114791, 3114798, 3114807, 3114809, 3114813, 3114818, 3114829, 3114840, 3114846, 3114856, 3114873, 3114881, 3114882, 3114898, 3114907, 3114934, 3114962, 3114963, 3114996, 3114999, 3115007, 3115075, 3115076, 3115077"
